alpha,"Open, S=1/2","Open, S=1","Periodic, S=1/2","Periodic, S=1"
1,0.8052184696252144,0.3002316431599215,0.5216205329249006,0.2511958398012825
2,0.06409671847998398,0.22342358705387663,0.13423377441409248,0.22968042344344852
3,0.06409671847997807,0.22342358704120655,0.1342337732077662,0.22967733605381813
4,0.06409671847997148,0.22342358495309414,0.1342333788346239,0.229675512524895
5,0.0006969148274654167,0.0037898683554042478,0.015364790640036765,0.004288658131076727
6,0.0006969148274653629,0.0037898683553806577,0.015364790299918623,0.004288288922189349
7,0.0006969148274624287,0.0037898683384531254,0.015364648716665652,0.004287856829497264
8,0.00029998333177896696,0.003789868338428487,0.011961129027522083,0.00428774923817302
9,2.3806533625266623e-05,0.0037898678606221236,0.0028613393113726777,0.00428666526999872
10,2.3806533625190536e-05,0.0032230098706905828,0.0028613387602900594,0.0036804876016923675
11,2.3806533616942227e-05,0.0032230095829847,0.002861207643618375,0.0036801015293266245
12,4.4032938666002374e-06,0.0032230095829156257,0.0009491048585862835,0.003679350307961557
13,4.403293866590509e-06,0.00019163254321096328,0.0009491046568662727,0.003311856308119369
14,4.403293864726434e-06,0.00019163254320857508,0.0009490364178392435,0.0033109861365924233
15,4.403293864706528e-06,0.0001916320989516194,0.0009490363215528129,0.0033108125043024767
16,4.4032938641244194e-06,0.0001621033116599797,0.0009490133945136335,0.002977739317338308
17,2.019395668179164e-06,1.6536468135792327e-05,0.0008539721162112115,0.0029776725860246006
18,2.019395664966738e-06,1.6536468134856128e-05,0.0008539720765783675,0.0029773562584923556
19,2.0193956649645804e-06,1.653643630160991e-05,0.0008538202710056439,0.002977158164092922
20,8.404627528409993e-07,1.6536436298857423e-05,0.0005641797174595661,0.0029768482791527233
21,7.35956931262687e-08,1.653596765371103e-05,0.00017066334667386858,0.0002492822934147115
22,7.359569312268312e-08,1.1944843151956734e-05,0.00017066326445374752,0.0001986039784444648
23,7.3595679434516e-08,1.1944830910656292e-05,0.00017060115722804576,0.00019831731749656283
24,1.3994007968748506e-08,1.1944830909749916e-05,7.918238836503307e-05,0.00019816121202286474
25,1.3994007967792112e-08,1.266565635511452e-06,6.197696508614703e-05,0.00015156306996294084
26,1.3994004203216038e-08,1.266565635292644e-06,6.197690967244285e-05,0.0001514999747464484
27,1.3994004203155068e-08,1.2665542014701309e-06,6.194615127793277e-05,0.0001513716693367005
28,1.3994002974457282e-08,1.2280610322684383e-06,6.194611470704002e-05,0.00010452661448556471
29,1.0207543556348373e-08,1.2280610322512349e-06,6.193582854586658e-05,5.3476269929911825e-05
30,1.8764552548971074e-09,1.228047586763871e-06,2.4955195904716878e-05,5.345857957849788e-05
31,1.8764517609452404e-09,1.228047586738264e-06,2.4955052022194848e-05,5.3456489852196564e-05
32,1.8764517604240137e-09,1.2279439187129402e-06,2.4914052361096527e-05,5.339976128052921e-05
33,8.642748109283551e-10,1.0127255289836527e-06,2.103713267514331e-05,5.336311665109552e-05
34,8.642748108395161e-10,1.01272552875557e-06,2.103691319417143e-05,5.267540812684742e-05
35,8.642747927076341e-10,1.0126698989906598e-06,2.1033210678880757e-05,5.2674273529438145e-05
36,7.823383593686332e-10,1.012663063482617e-06,1.6050930881517306e-05,5.26601837173334e-05
37,5.088334828501882e-10,1.0126630634404567e-06,1.2915900088596691e-05,5.250360627756458e-05
38,5.088334828028269e-10,1.0126621205367934e-06,1.291589610342558e-05,5.23827457758322e-05
39,5.088329393975188e-10,1.0126621203355657e-06,1.2912016108358623e-05,5.2297964000397626e-05
40,1.0965252709507407e-10,8.635746232679687e-07,5.52654110440847e-06,5.228208011291538e-05
41,1.0965252706911842e-10,8.635746232295746e-07,5.526527561186528e-06,5.1721385777419234e-05
42,1.0965212969337824e-10,8.635647066920356e-07,5.520977134709729e-06,5.171407420451852e-05
43,1.0965212963385824e-10,8.635647066897232e-07,5.520970189332876e-06,5.1708370927132387e-05
44,1.0965199994708493e-10,8.635153526364616e-07,5.5191112493831976e-06,5.070990255882318e-05
45,6.74732231697398e-11,4.710908725087302e-07,4.813678769530049e-06,1.7441887668586562e-05
46,6.747322310128694e-11,4.7109087234758294e-07,4.813631659511827e-06,1.741219175121491e-05
47,6.745031117060303e-11,4.7101932417791713e-07,4.756171577011332e-06,1.7358694863832186e-05
48,1.6648249904358818e-11,3.853934308122892e-07,2.6293393855928765e-06,1.722265728663779e-05
49,1.6648194904065687e-11,6.750318440551723e-08,2.629105180010284e-06,1.713765250814051e-05
50,1.6648194898142036e-11,6.750318436860384e-08,2.6291033631635485e-06,1.1158101264647554e-05
