m,Open BCs,Periodic BCs
4,0.02001860359622221,0.04142229980678118
6,0.014930408596466072,0.03452510784612539
8,0.013366853271693194,0.02513424858829562
10,0.00557002222926356,0.018862791338275904
12,0.00031565263120598487,0.009231158871788854
16,5.688407325409621e-05,0.005833511022720744
20,2.869362308271694e-05,0.0017315795802643294
24,1.0489142392414102e-05,0.0012959648603518463
28,6.992993823115895e-06,0.0010373288865080758
32,3.908024286222072e-06,0.0007752401816971146
36,1.5186968603117494e-06,0.0004842717137488363
40,8.934985258528922e-07,0.00027770316697539886
44,2.406232267583637e-07,0.00013463010777459483
48,5.901056820616469e-08,9.778051364609354e-05
52,2.7298427461587694e-08,7.340798381509831e-05
56,1.4464710811161378e-08,6.103729115976655e-05
60,9.113416080167366e-09,4.714582479066579e-05
64,6.187622871625931e-09,3.4007896262616256e-05
72,1.9214916461673305e-09,2.2159507159946647e-05
80,6.634593804391713e-10,1.3399288868036624e-05
90,2.4325975145701844e-10,7.770618560681224e-06
100,1.1321989458893653e-10,4.2626583278397646e-06
110,5.2527962949366903e-11,2.921612334007504e-06
120,2.5951095100918003e-11,1.965121713426799e-06
