L,1/L,Gap S=1/2,Gap S=1
4,0.25,0.9999999999999996,1.0000000000000009
6,0.16666666666666666,0.684741648982099,0.7206273626238922
8,0.125,0.5226743450925992,0.5935552543752873
10,0.1,0.42323900775337364,0.5248079504136172
12,0.08333333333333333,0.3558475137027708,0.48419647096016405
14,0.07142857142857142,0.3071057095684262,0.45896556557751467
16,0.0625,0.270189671535924,0.44279674037044003
20,0.05,0.21794510768503805,0.42522046710363526
24,0.041666666666666664,0.18271974379019973,0.4173831491409672
32,0.03125,0.13819280286432978,0.41218481271869223
40,0.025,0.1111844697460036,0.41115515546681536
50,0.02,0.08938631669386865,0.4111101456646651
64,0.015625,0.07016473674103452,0.41152998000858076
80,0.0125,0.05632806610090313,0.41233529177641515
100,0.01,0.045201382556555814,0.41419367879939273
