i,Panel (a),Panel (b),Panel (c)
1,-0.6517777237326855,-0.6506548314389428,-0.30048434457004414
2,-0.29621438742693756,-0.2975442650232829,-0.5828402691312529
3,-0.562530102325606,-0.5599159694989113,-0.35904843328289504
4,-0.3415486934729204,-0.3445262715404128,-0.5018981318704745
5,-0.5333463858765035,-0.5289682643132495,-0.399462040759063
6,-0.3618046642263549,-0.36666139432403927,-0.4769340786420784
7,-0.5181161519782311,-0.5117623529162693,-0.4164517035820427
8,-0.3735896359337994,-0.3805184525464125,-0.4645700106122199
9,-0.5086172415112762,-0.500105870279886,-0.42583728706537594
10,-0.38135402739247914,-0.3905262857012205,-0.45721223843472675
11,-0.5021129091949126,-0.4912792331638627,-0.431744131431742
12,-0.3868428986626982,-0.39841705948890505,-0.45238318218234846
13,-0.49740643409833357,-0.4840958700581932,-0.43575155121548703
14,-0.3908926525788704,-0.4050197344099628,-0.44902116401005254
15,-0.4938846301309694,-0.47794805284627373,-0.43859968975506636
16,-0.3939577811400018,-0.41078534193078087,-0.4465930768707407
17,-0.4911990630495038,-0.4724891777644636,-0.4406821362926352
18,-0.39630709462828284,-0.4159825376452481,-0.4448020248950608
19,-0.4891371683404704,-0.46750533891849877,-0.442226813001018
20,-0.3981091703366053,-0.4207828105647293,-0.44347051054480685
21,-0.48756282934470874,-0.4628560005162012,-0.44337365913908194
22,-0.3994738879418398,-0.4253020721175308,-0.44248722819155883
23,-0.48638626820781294,-0.458443716265039,-0.44421187393993344
24,-0.4004742990269338,-0.42962282261008466,-0.44178044998709176
25,-0.4855477137428529,-0.45419738356685024,-0.444799240884423
26,-0.4011588066533164,-0.4338068737799544,-0.44130380161530325
27,-0.4850081383747612,-0.4500623025430124,-0.4451727028992503
28,-0.40155816199215566,-0.43790317784548927,-0.4410283541327693
29,-0.48474392583748915,-0.445993837858582,-0.4453542817805436
30,-0.40168945259086153,-0.4419530252345013,-0.4409382267833367
31,-0.4847439258386923,-0.4419530252344869,-0.44535428177950054
32,-0.4015581619905761,-0.44599383785892,-0.4410283541387303
33,-0.4850081383747676,-0.43790317784551597,-0.44517270289826283
34,-0.4011588066517038,-0.4500623025430059,-0.4413038016154838
35,-0.48554771374301914,-0.4338068737802758,-0.4447992408840179
36,-0.40047429902676857,-0.4541973835666979,-0.4417804499877272
37,-0.4863862682102205,-0.42962282260963724,-0.44421187393935
38,-0.399473887940831,-0.45844371626469327,-0.44248722819115827
39,-0.4875628293451509,-0.4253020721181551,-0.4433736591392483
40,-0.3981091703341451,-0.4628560005162954,-0.44347051054488296
41,-0.48913716834043564,-0.42078281056250033,-0.4422268130010031
42,-0.3963070946287523,-0.4675053389184587,-0.44480202489823084
43,-0.4911990630486226,-0.4159825376495892,-0.4406821362911189
44,-0.3939577811409002,-0.47248917776264693,-0.44659307687110905
45,-0.49388463013058076,-0.41078534193053806,-0.43859968975501196
46,-0.3908926525785097,-0.47794805284649156,-0.44902116400916925
47,-0.49740643409816965,-0.4050197344101578,-0.43575155121462605
48,-0.3868428986611261,-0.484095870058163,-0.45238318218337076
49,-0.5021129091949272,-0.3984170594894023,-0.43174413143148743
50,-0.38135402739245783,-0.4912792331643972,-0.45721223843433567
51,-0.5086172415112683,-0.3905262857013221,-0.42583728706494706
52,-0.3735896359338351,-0.5001058702800945,-0.46457001061240893
53,-0.5181161519770849,-0.38051845254619543,-0.4164517035815321
54,-0.3618046642282853,-0.5117623529158879,-0.47693407864201076
55,-0.5333463858765204,-0.36666139432452094,-0.39946204075916725
56,-0.34154869347297695,-0.5289682643131264,-0.5018981318704758
57,-0.5625301023256212,-0.3445262715406452,-0.3590484332828563
58,-0.2962143874271691,-0.5599159694988785,-0.5828402691312848
59,-0.6517777237325344,-0.29754426502334785,-0.3004843445700591
60,,-0.6506548314388828,
