alpha,1 Target,2 Targets,3 Targets,4 Targets,5 Targets
1,0.8052184696251826,0.5816907326970459,0.5256342445025745,0.42963891654204495,0.36616807208328306
2,0.06409671848000303,0.2084821244326571,0.2570404639790068,0.2515927321169881,0.22293564831225693
3,0.06409671847998316,0.09520902794042073,0.072112642838335,0.10769824456163685,0.14191761267078212
4,0.06409671847995635,0.0952090279395414,0.07211264280498605,0.10769824452532324,0.1419176123648281
5,0.0006969148274683353,0.00770577647503418,0.03521943285744431,0.03415212089259409,0.036601146205888335
6,0.000696914827468049,0.004929397217836651,0.013968005512496624,0.02810373790280848,0.024145632535115747
7,0.000696914827467329,0.0026484137296830077,0.010289053499797623,0.015011630003246679,0.018098394230520176
8,0.0002999833317853444,0.0026484137294235702,0.010289053470468714,0.015011629989185494,0.018098393954304758
9,2.3806533626528936e-05,0.0004970515044250704,0.0007936924734800002,0.002736872053091484,0.012893662746108517
10,2.380653362651763e-05,0.00049705150435426,0.0007936924719300113,0.002511697200350167,0.0049469916178017
11,2.3806533618326476e-05,0.0001685382142406287,0.0007119172178185993,0.002511697199481901,0.004946991590397127
12,4.403293866612004e-06,9.49376494644442e-05,0.00030236352554418726,0.0013130260412789019,0.003379310089543852
13,4.4032938666061235e-06,3.7484675871731095e-05,0.0001622979098104887,0.000472870964726277,0.0009037461469549353
14,4.403293864885101e-06,3.748467586045686e-05,0.00013968379427345103,0.0003174632445580609,0.000903746140910121
15,4.403293864880507e-06,3.535321784948442e-05,0.0001396837908408659,0.00028743614485256795,0.00041939837432409903
16,4.403293864314274e-06,2.890212752067226e-05,0.00013174536170105589,0.00028743614327849493,0.000363323701885328
17,2.0193956678164476e-06,1.956749295041308e-05,4.0240019895386826e-05,0.00015629057416038014,0.00025417388420951437
18,2.019395664461002e-06,1.9567492924817535e-05,4.0240019610536564e-05,0.00015629056261628,0.0002541738836607128
19,2.0193956644509074e-06,1.7634467538228772e-05,1.2132463572058668e-05,8.429968195817063e-05,0.00019394391561880698
20,8.404627484432345e-07,1.7634467504335064e-05,1.2132463360928984e-05,8.429968156909236e-05,0.00019394388556978016
21,7.359569514458875e-08,1.1980278675796886e-06,1.0549558174909662e-05,4.2450716911497894e-05,0.00017469904611087654
22,7.359569514297957e-08,1.1980278486455196e-06,1.0494783749340651e-05,2.740601623873864e-05,7.351194155539773e-05
23,7.359568182214647e-08,1.0285077830642861e-06,1.0494782912527407e-05,1.777262684143205e-05,3.909963456805864e-05
24,1.3994008244271157e-08,8.444324629083583e-07,8.446540677514728e-06,1.777262357267082e-05,3.909963325202466e-05
25,1.3994008244264703e-08,2.761451868749328e-07,2.5371872852101857e-06,1.402301590388973e-05,2.8059709836284343e-05
26,1.3994004571948364e-08,2.0003199308126111e-07,1.7322054770743472e-06,1.4023014036322576e-05,2.2413647728791116e-05
27,1.399400457115739e-08,2.000319926471667e-07,1.7322051131978842e-06,9.021445512580771e-06,2.2413633219796222e-05
28,1.399400336187576e-08,1.4956652273534685e-07,1.5167579010206527e-06,7.961592505495822e-06,1.945820970631241e-05
29,1.0207543162353268e-08,1.0693406778137667e-07,1.274767854038783e-06,4.699859238667181e-06,6.7743058789447425e-06
